Book_ID,Title,Author,Rating,Ratings_Count,Year,Image_URL
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,4780653,2008,https://images.gr-assets.com/books/1447303603m/2767052.jpg
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,4602479,1997,https://images.gr-assets.com/books/1474154022m/3.jpg
41865,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,3866839,2005,https://images.gr-assets.com/books/1361039443m/41865.jpg
2657,To Kill a Mockingbird,Harper Lee,4.25,3198671,1960,https://images.gr-assets.com/books/1361975680m/2657.jpg
4671,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1925,https://images.gr-assets.com/books/1490528560m/4671.jpg
11870085,The Fault in Our Stars,John Green,4.26,2346404,2012,https://images.gr-assets.com/books/1360206420m/11870085.jpg
5907,The Hobbit,J.R.R. Tolkien,4.25,2071616,1937,https://images.gr-assets.com/books/1372847500m/5907.jpg
5107,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951,https://images.gr-assets.com/books/1398034300m/5107.jpg
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,2001311,2000,https://images.gr-assets.com/books/1303390735m/960.jpg
1885,Pride and Prejudice,Jane Austen,4.24,2035490,1813,https://images.gr-assets.com/books/1320399351m/1885.jpg
77203,The Kite Runner,Khaled Hosseini,4.26,1813044,2003,https://images.gr-assets.com/books/1484565687m/77203.jpg
13335037,"Divergent (Divergent, #1)",Veronica Roth,4.24,1903563,2011,https://images.gr-assets.com/books/1328559506m/13335037.jpg
5470,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,1956832,1949,https://images.gr-assets.com/books/1348990566m/5470.jpg
7613,Animal Farm,George Orwell,3.87,1881700,1945,https://images.gr-assets.com/books/1424037542m/7613.jpg
48855,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,1972666,1947,https://images.gr-assets.com/books/1358276407m/48855.jpg
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,1808403,2005,https://images.gr-assets.com/books/1327868566m/2429135.jpg
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,1831039,2009,https://images.gr-assets.com/books/1358273780m/6148028.jpg
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,1832823,1999,https://images.gr-assets.com/books/1499277281m/5.jpg
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,1766803,1954,https://images.gr-assets.com/books/1298411339m/34.jpg
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,1719760,2010,https://images.gr-assets.com/books/1358275419m/7260188.jpg
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,1735368,2003,https://images.gr-assets.com/books/1387141547m/2.jpg
12232938,The Lovely Bones,Alice Sebold,3.77,1605173,2002,https://images.gr-assets.com/books/1457810586m/12232938.jpg
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,1779331,1998,https://images.gr-assets.com/books/1474169725m/15881.jpg
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,2000,https://images.gr-assets.com/books/1361482611m/6.jpg
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,1746574,2007,https://images.gr-assets.com/books/1474171184m/136251.jpg
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,1447148,2003,https://images.gr-assets.com/books/1303252999m/968.jpg
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,1678823,2005,https://images.gr-assets.com/books/1361039191m/1.jpg
7624,Lord of the Flies,William Golding,3.64,1605019,1954,https://images.gr-assets.com/books/1327869409m/7624.jpg
18135,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,1628519,1595,https://images.gr-assets.com/books/1327872146m/18135.jpg
8442457,Gone Girl,Gillian Flynn,4.03,512475,2012,https://images.gr-assets.com/books/1339602131m/8442457.jpg
4667024,The Help,Kathryn Stockett,4.45,1531753,2009,https://images.gr-assets.com/books/1346100365m/4667024.jpg
890,Of Mice and Men,John Steinbeck,3.84,1467496,1937,https://images.gr-assets.com/books/1437235233m/890.jpg
930,Memoirs of a Geisha,Arthur Golden,4.08,1300209,1997,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
10818853,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,1338493,2011,https://images.gr-assets.com/books/1385207843m/10818853.jpg
865,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,1299566,1988,https://images.gr-assets.com/books/1483412266m/865.jpg
3636,"The Giver (The Giver, #1)",Lois Lowry,4.12,1296825,1993,https://images.gr-assets.com/books/1342493368m/3636.jpg
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,1531800,1950,https://images.gr-assets.com/books/1353029077m/100915.jpg
14050,The Time Traveler's Wife,Audrey Niffenegger,3.95,746287,2003,https://images.gr-assets.com/books/1437728815m/14050.jpg
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,1319204,1996,https://images.gr-assets.com/books/1436732693m/13496.jpg
