Book_ID,Title,Author,Rating,Ratings_Count,Year,Image_URL,Genre
41865,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,3866839,2005,https://images.gr-assets.com/books/1361039443m/41865.jpg,Young Adult
2657,To Kill a Mockingbird,Harper Lee,4.25,3198671,1960,https://images.gr-assets.com/books/1361975680m/2657.jpg,Classics
4671,The Great Gatsby,F. Scott Fitzgerald,3.89,2683664,1925,https://images.gr-assets.com/books/1490528560m/4671.jpg,Classics
5907,The Hobbit,J.R.R. Tolkien,4.25,2071616,1937,https://images.gr-assets.com/books/1372847500m/5907.jpg,Fantasy
5107,The Catcher in the Rye,J.D. Salinger,3.79,2044241,1951,https://images.gr-assets.com/books/1398034300m/5107.jpg,Classics
1885,Pride and Prejudice,Jane Austen,4.24,2035490,1813,https://images.gr-assets.com/books/1320399351m/1885.jpg,Classics
7613,Animal Farm,George Orwell,3.87,1881700,1945,https://images.gr-assets.com/books/1424037542m/7613.jpg,Classics
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,1831039,2009,https://images.gr-assets.com/books/1358273780m/6148028.jpg,Young Adult
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,1766803,1954,https://images.gr-assets.com/books/1298411339m/34.jpg,Fantasy
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,1779331,1998,https://images.gr-assets.com/books/1474169725m/15881.jpg,Fantasy
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,1753043,2000,https://images.gr-assets.com/books/1361482611m/6.jpg,Fantasy
7624,Lord of the Flies,William Golding,3.64,1605019,1954,https://images.gr-assets.com/books/1327869409m/7624.jpg,Classics
890,Of Mice and Men,John Steinbeck,3.84,1467496,1937,https://images.gr-assets.com/books/1437235233m/890.jpg,Classics
100915,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.19,1531800,1950,https://images.gr-assets.com/books/1353029077m/100915.jpg,Fantasy
428263,"Eclipse (Twilight, #3)",Stephenie Meyer,3.69,1134511,2007,https://images.gr-assets.com/books/1361038355m/428263.jpg,Young Adult
113436,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.86,1104021,2002,https://images.gr-assets.com/books/1366212852m/113436.jpg,Fantasy
6185,Wuthering Heights,"Emily Brontë, Richard J. Dunn",3.82,899195,1847,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics
18490,Frankenstein,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,808589,1818,https://images.gr-assets.com/books/1381512375m/18490.jpg,Classics
6442769,Paper Towns,John Green,3.88,461311,2008,https://images.gr-assets.com/books/1349013610m/6442769.jpg,Young Adult
320,One Hundred Years of Solitude,"Gabriel García Márquez, Gregory Rabassa",4.04,490565,1967,https://images.gr-assets.com/books/1327881361m/320.jpg,Classics
7126,The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",4.21,555822,1844,https://images.gr-assets.com/books/1309203605m/7126.jpg,Classics
24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,555359,1876,https://images.gr-assets.com/books/1404811979m/24583.jpg,Classics
2165,The Old Man and the Sea,Ernest Hemingway,3.73,520630,1952,https://images.gr-assets.com/books/1329189714m/2165.jpg,Classics
3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.34,593173,2009,https://images.gr-assets.com/books/1369452339m/3777732.jpg,Fantasy
9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,3.89,613674,2011,https://images.gr-assets.com/books/1472782916m/9460487.jpg,Fantasy
18007564,The Martian,Andy Weir,4.39,423344,2012,https://images.gr-assets.com/books/1413706054m/18007564.jpg,Science Fiction
5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,4.29,462517,1989,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Historical
49552,The Stranger,"Albert Camus, Matthew    Ward",3.96,420600,1942,https://images.gr-assets.com/books/1349927872m/49552.jpg,Classics
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.1,428186,2005,https://images.gr-assets.com/books/1429538615m/13497.jpg,Fantasy
4407,"American Gods (American Gods, #1)",Neil Gaiman,4.11,378019,2001,https://images.gr-assets.com/books/1258417001m/4407.jpg,Fantasy
15823480,Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",4.02,297472,1877,https://images.gr-assets.com/books/1352422904m/15823480.jpg,Classics
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.33,446668,2007,https://images.gr-assets.com/books/1361038385m/561456.jpg,Fantasy
556602,Sarah's Key,Tatiana de Rosnay,4.14,312444,2007,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Historical
10592,Carrie,Stephen King,3.93,356814,1974,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Horror
7631105,"The Scorch Trials (Maze Runner, #2)",James Dashner,3.93,305643,2010,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Young Adult
29579,Foundation (Foundation #1),Isaac Asimov,4.13,279688,1951,https://images.gr-assets.com/books/1417900846m/29579.jpg,Science Fiction
32499,The Pelican Brief,John Grisham,3.95,288376,1992,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Mystery
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",4.08,306492,1951,https://images.gr-assets.com/books/1343185059m/140225.jpg,Classics
10583,Pet Sematary,Stephen King,3.91,256383,1983,https://images.gr-assets.com/books/1308894674m/10583.jpg,Horror
2213661,The Graveyard Book,"Neil Gaiman, Dave McKean",4.12,302303,2008,https://images.gr-assets.com/books/1303859949m/2213661.jpg,Fantasy
10365,Where the Red Fern Grows,Wilson Rawls,4.04,268548,1961,https://images.gr-assets.com/books/1166154337m/10365.jpg,Classics
14497,Neverwhere,Neil Gaiman,4.18,268318,1996,https://images.gr-assets.com/books/1348747943m/14497.jpg,Fantasy
236093,"The Wonderful Wizard of Oz (Oz, #1)","L. Frank Baum, W.W. Denslow",3.98,247521,1900,https://images.gr-assets.com/books/1398003737m/236093.jpg,Classics
121749,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.96,250221,1951,https://images.gr-assets.com/books/1308814880m/121749.jpg,Classics
16143347,We Were Liars,E. Lockhart,3.85,273442,2014,https://images.gr-assets.com/books/1402749479m/16143347.jpg,Young Adult
12996,Othello,William Shakespeare,3.88,238875,1603,https://images.gr-assets.com/books/1459795105m/12996.jpg,Classics
7082,Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",4.08,223828,1968,https://images.gr-assets.com/books/1435458683m/7082.jpg,Science Fiction
119324,"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,4.1,242503,1997,https://images.gr-assets.com/books/1451271814m/119324.jpg,Fantasy
350,Stranger in a Strange Land,Robert A. Heinlein,3.91,220301,1961,https://images.gr-assets.com/books/1156897088m/350.jpg,Science Fiction
46170,For Whom the Bell Tolls,Ernest Hemingway,3.95,195063,1940,https://images.gr-assets.com/books/1492591524m/46170.jpg,Classics
10799,A Farewell to Arms,Ernest Hemingway,3.79,186613,1929,https://images.gr-assets.com/books/1313714836m/10799.jpg,Classics
33722,The Undomestic Goddess,Sophie Kinsella,3.82,200509,2005,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Romance
7190,The Three Musketeers,Alexandre Dumas,4.06,195274,1844,https://images.gr-assets.com/books/1320436982m/7190.jpg,Classics
34497,"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett,3.97,190590,1983,https://images.gr-assets.com/books/1407111017m/34497.jpg,Fantasy
41804,"I, Robot (Robot #0.1)",Isaac Asimov,4.17,198368,1950,https://images.gr-assets.com/books/1388321463m/41804.jpg,Science Fiction
6482837,Before I Fall,Lauren Oliver,3.92,220160,2010,https://images.gr-assets.com/books/1361044695m/6482837.jpg,Young Adult
6320534,Under the Dome,Stephen King,3.89,183292,2009,https://images.gr-assets.com/books/1268982908m/6320534.jpg,Horror
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,4.03,211645,2008,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fantasy
4934,The Brothers Karamazov,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",4.3,155838,1880,https://images.gr-assets.com/books/1427728126m/4934.jpg,Classics
38980,"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,3.76,193140,2000,https://images.gr-assets.com/books/1355011082m/38980.jpg,Young Adult
1358844,Remember Me?,Sophie Kinsella,3.76,170096,2008,https://images.gr-assets.com/books/1276963901m/1358844.jpg,Romance
233649,"The Great Hunt (Wheel of Time, #2)",Robert Jordan,4.2,162595,1990,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fantasy
84119,"The Horse and His Boy (Chronicles of Narnia, #5)",C.S. Lewis,3.9,189671,1954,https://images.gr-assets.com/books/1388210968m/84119.jpg,Fantasy
10987,"Voyager (Outlander, #3)",Diana Gabaldon,4.38,157395,1993,https://images.gr-assets.com/books/1483278195m/10987.jpg,Historical
32261,Tess of the D'Urbervilles,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",3.77,171599,1891,https://images.gr-assets.com/books/1497218117m/32261.jpg,Classics
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,4.35,150736,2007,https://images.gr-assets.com/books/1480717596m/68429.jpg,Fantasy
58696,David Copperfield,"Charles Dickens, Jeremy Tambling",3.96,150512,1849,https://images.gr-assets.com/books/1461452762m/58696.jpg,Classics
5148,A Separate Peace,John Knowles,3.56,155901,1959,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Classics
3836,Don Quixote,"Miguel de Cervantes Saavedra, Roberto González Echevarría, John Rutherford",3.85,134931,1605,https://images.gr-assets.com/books/1364958765m/3836.jpg,Classics
65641,"The Silver Chair (Chronicles of Narnia, #4)","C.S. Lewis, Pauline Baynes",3.95,170453,1953,https://images.gr-assets.com/books/1336139237m/65641.jpg,Fantasy
8921,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",4.09,154517,1902,https://images.gr-assets.com/books/1355929358m/8921.jpg,Classics
402045,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.12,157736,1982,https://images.gr-assets.com/books/1388857089m/402045.jpg,Fantasy
140075,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,4.05,162689,2007,https://images.gr-assets.com/books/1417964062m/140075.jpg,Horror
83763,Prey,Michael Crichton,3.72,131352,2002,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Science Fiction
5064,"World Without End (The Kingsbridge Series, #2)",Ken Follett,4.23,128715,2007,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Historical
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,4.08,146905,2011,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fantasy
480204,The Phantom of the Opera,"Gaston Leroux, Alexander Teixeira de Mattos",3.97,141110,1909,https://images.gr-assets.com/books/1327867727m/480204.jpg,Classics
140079,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,4.02,163054,2006,https://images.gr-assets.com/books/1468562748m/140079.jpg,Horror
16304,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.16,138444,1934,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Mystery
18214414,"The Silkworm (Cormoran Strike, #2)","Robert Galbraith, J.K. Rowling",4.03,120008,2014,https://images.gr-assets.com/books/1392577290m/18214414.jpg,Mystery
10605,Thinner,"Richard Bachman, Stephen King",3.66,130219,1984,https://images.gr-assets.com/books/1346947063m/10605.jpg,Horror
386372,"Mort (Death, #1; Discworld, #4)",Terry Pratchett,4.22,128450,1987,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,Fantasy
6644117,"The Iron King (The Iron Fey, #1)",Julie Kagawa,3.92,158063,2010,https://images.gr-assets.com/books/1327877670m/6644117.jpg,Young Adult
